title_x,idpaper_2,journal,journal_num,year,month,volume,issue,idpaper,jelcodes,keywords,abstract,start_page,end_page,num_words,num_words_90_flag,idauthor,author,prop_women,num_authors,gender_group_type,sole_or_coauthors,num_pages,num_pages_dmean,flesch_kincaid_grade_level,log_flesch_kincaid_grade_level,flesch_kincaid_reading_ease,log_flesch_kincaid_reading_ease,dale_chall,log_dale_chall,coleman_liau_index,log_coleman_liau_index,automated_readability_index,log_automated_readability_index,american_economic_review,econometrica,journal_of_pol_economy,quarterly_journal_of_economics,review_of_economic_studies,coauthors,single_author,both_genders,only_females,only_males,num_sentences,num_syllables,observation,authors,jelcodes_letter,jelcodes_text,jel_dummy_A,jel_dummy_B,jel_dummy_C,jel_dummy_D,jel_dummy_E,jel_dummy_F,jel_dummy_G,jel_dummy_H,jel_dummy_I,jel_dummy_J,jel_dummy_K,jel_dummy_L,jel_dummy_M,jel_dummy_N,jel_dummy_O,jel_dummy_P,jel_dummy_Q,jel_dummy_R,jel_dummy_Y,jel_dummy_Z
1512,reinforcement-based vs. belief-based learning models in experimental asymmetric-information games,22000683605641,Econometrica,2,2000,,68,3,22000683605.0,,"Equilibrium, asymmetric information, zero-sum game, learning, calibration, model comparison.","This paper examines the abilities of learning models to describe subject behavior in experiments. A new experiment involving multistage asymmetric-information games is conducted, and the experimental data are compared with the predictions of Nash equilibrium and two types of learning model: a reinforcement-based model similar to that used by Roth and Erev (1995), and belief-based models similar to the cautious fictitious play of Fudenberg and Levine (1995, 1998) These models make predictions that are qualitatively similar cycling around the Nash equilibrium that is much more apparent than movement toward it. While subject behavior is not adequately described by Nash equilibrium, it is consistent with the qualitative predictions of the learning models. We examine several criteria for quantitatively comparing the predictions of alternative models. According to almost all of these criteria, both types of learning model outperform Nash equilibrium. According to some criteria, the reinforcement-based model performs better than any version of the belief-based model; according to others, there exist versions of the belief-based model that outperform the reinforcement-based model. The abilities of these models are further tested with respect to the results of other published experiments. The relative performance of the two learning models depends on the experiment, and varies according to which criterion of success is used. Again, both models perform better than equilibrium in most cases.",605,641,225,1,['p03915'],['nick feltovich'],0.0,1,only_males,single_author,36,-2.5,15.26411111,2.7255043939999997,25.7015,3.246549356,11.7001,2.4595973890000002,15.42044444,2.73569419,16.1332,2.7808792610000004,0,1,0,0,0,0,1,0,0,1,10,421,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,priority rules and other asymmetric rationing methods,22000683643684,Econometrica,2,2000,,68,3,22000683643.0,,"Rationing, priority rule, consistency, composition, scale invariance.","In a rationing problem, each agent demands a quantity of a certain commodity and the available resources fall short of total demand. A rationing method solves this problem at every level of resources and individual demands. We impose three axioms: Consistency -- with respect to variations of the set of agents -- Upper Composition and Lower Composition -- with respect to variations of the available resources. In the model where the commodity comes in indivisible units, the three axioms characterize the family of priority rules, where individual demands are met lexicographically according to an exogeneous ordering of the agents. In the (more familiar) model where the commodity is divisible, these three axioms plus Scale Invariance -- independence of the measurement unit -- characterize a rich family of methods. It contains exactly three symmetric methods, giving equal shares to equal demands: these are the familiar proportional, uniform gains, and uniform losses methods. The asymmetric methods in the family partition the agents into priority classes; within each class, they use either the proportional method or a weighted version of the uniform gains or uniform losses methods.",643,684,179,1,['p02104'],['herve moulin'],0.0,1,only_males,single_author,41,2.5,17.1258739,2.840590414,17.82413408,2.8805533860000003,11.60897694,2.451778673,15.23463687,2.723571577,17.14230646,2.84154947,0,1,0,0,0,0,1,0,0,1,7,345,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,"efficiency, equilibrium, and asset pricing with risk of default",22000684775797,Econometrica,2,2000,,68,4,22000684775.0,,"Endogenous solvency constraints, risk sharing, participation constraints, default risk, asset pricing.","We introduce a new equilibrium concept and study its efficiency and asset pricing implications for the environment analyzed by Kehoe and Levine (1993) and Kocherlakota (1996). Our equilibrium concept has complete markets and endogenous solvency constraints. These solvency constraints prevent default at the cost of reducing risk sharing. We show versions of the welfare theorems. We characterize the preferences and endowments that lead to equilibria with incomplete risk sharing. We compare the resulting pricing kernel with the one for economies without participation constraints: interest rates are lower and risk premia depend on the covariance of the idiosyncratic and aggregate shocks. Additionally, we show that asset prices depend only on the valuation of agents with substantial idiosyncratic risk.",775,797,117,1,"['p01688', 'p05375']","['fernando alvarez', 'urban jermann']",0.0,2,only_males,coauthors,22,-8.285714286000001,13.31831502,2.5891401569999997,29.34692308,3.379187705,12.02313541,2.486832744,16.15111111,2.781988847,14.26124542,2.657545748,0,1,0,0,0,1,0,0,0,1,7,222,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515,competing mechanisms in a common value environment,22000684799837,Econometrica,2,2000,,68,4,22000684799.0,,"Multi-principals, mechanism design, competing market-makers, financial markets microstructure.","Consider strategic risk-neutral traders competing in schedules to supply liquidity to a risk-averse agent who is privately informed about the value of the asset and his hedging needs. Imperfect competition in this common value environment is analyzed as a multi-principal game in which liquidity suppliers offer trading mechanisms in a decentralized way. Each liquidity supplier behaves as a monopolist facing a residual demand curve resulting from the maximizing behavior of the informed agent and the trading mechanisms offered by his competitors. There exists a unique equilibrium in convex schedules. It is symmetric and differentiable and exhibits typical features of market-power: Equilibrium trading volume is lower than ex ante efficiency would require. Liquidity suppliers charge positive mark-ups and make positive expected profits, but these profits decrease with the number of competitors. In the limit, as this number goes to infinity, ask (resp. bid) prices converge towards the upper (resp. lower) tail expectations obtained in Glosten (1994) and expected profits are zero.",799,837,165,1,"['p00740', 'p01219', 'p02393']","['bruno biais', 'david martimort', 'jean-charles rochet']",0.0,3,only_males,coauthors,38,7.714285714,12.28666667,2.5085146640000002,33.69,3.517201057,11.74916667,2.463782316,14.335030300000001,2.6627062130000003,11.90363636,2.47684393,0,1,0,0,0,1,0,0,0,1,11,308,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,panel data discrete choice models with lagged dependent variables,22000684839874,Econometrica,2,2000,,68,4,22000684839.0,,"Dynamic discrete choice, panel data.","In this paper, we consider identification and estimation in panel data discrete choice models when the explanatory variable set includes strictly exogenous variables, lags of the endogenous dependent variable as well as unobservable individual-specific effects. For the binary logit model with the dependent variable lagged only once, Chamberlain (1993) gave conditions under which the model is not identified. We present a stronger set of conditions under which the parameters of the model are identified. The identification result suggests estimators of the model, and we show that these are consistent and asymptotically normal, although their rate of convergence is slower than the inverse of the square root of the sample size. We also consider identification in the semiparametric case where the logit assumption is relaxed. We propose an estimator in the spirit of the conditional maximum score estimator (Manski (1987)) and we show that it is consistent. In addition, we discuss an extension of the identification result to multinomial discrete choice models, and to the case where the dependent variable is lagged twice. Finally, we present some Monte Carlo evidence on the small sample performance of the proposed estimators for the binary response model.",839,874,194,1,"['p00675', 'p01439']","['bo honore', 'ekaterini kyriazidou']",0.5,2,both_genders,coauthors,35,4.714285714,16.37265464,2.7956125430000003,20.87073454,3.038347916,11.59481546,2.450558055,14.56164948,2.678391325,16.18726804,2.78422501,0,1,0,0,0,1,0,1,0,0,8,370,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,a theory of the firm with non-binding employment contracts,22000684875910,Econometrica,2,2000,,68,4,22000684875.0,,"Non-binding contracts, intra-firm bargaining.","This paper examines an employment relation in which individual workers enjoy some bargaining power vis-a-vis the firm although they are not unionized. The main elements of the situations studied here are that the employment contracts are non-binding across periods of production and that the firm has opportunities to replace workers. The paper analyzes a dynamic model in which the processes of contracting and recontracting between the firm and its workers are intertwined with the dynamic evolution of the firm's workforce. The analysis of the model is somewhat complicated because the employment level is a nondegenerate state variable that evolves over time and is affected by past decisions. The main analytical results characterize certain important equilibria: the profit maximizing and stationary equilibria. The unique stationary equilibrium is markedly inefficient: it exhibits inefficient over-employment and the steady state wages coincide with the workers' reservation wage. It confirms earlier results derived by Stole and Zwiebel (1996a, b) in the context of a static model and shows that they are very robust even when the firm has nearly frictionless hiring opportunities. In contrast, in the profit maximizing equilibrium the outcome is nearly efficient and the wage exhibits a mark-up over the reservation wage.",875,910,204,1,['p00507'],['asher wolinsky'],0.0,1,only_males,single_author,35,4.714285714,16.45107843,2.800391033,22.53485294,3.11506313,11.79007451,2.467258034,15.11980392,2.716005403,17.01720588,2.834224943,0,1,0,0,0,0,1,0,0,1,8,382,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,self-selective social choice functions verify arrow and gibbard-satterthwaite theorems,22000684981996,Econometrica,2,2000,,68,4,22000684981.0,,"Self-selectivity, dictatorship, strategy-proofness, monotonicity, independenceof irrelevant alternatives","This paper introduces a new notion of consistency for social choice functions, called self-selectivity, which requires that a social choice function employed by a society to make a choice from a given alternative set it faces should choose itself from among other rival such functions when it is employed by the society to make this latter choice as well. A unanimous neutral social choice function turns out to be universally self-selective if and only if it is Paretian and satisfies independence of irrelevant alternatives. The neutralunanimous social choice functions whose domains consist of linear order profiles on nonempty sets of any finite cardinality induce a class of social welfare functions that inherit Paretianism and independence of irrelevant alternatives in case the social choice function with which one starts is universally self-selective. Thus, a unanimous and neutral social choice function is universally self-selective if and only if it is dictatorial. Moreover, universal self-selectivity for such functions is equivalent to the conjunction of strategy-proofness and independence of irrelevant alternatives or the conjunction of monotonicity and independence of irrelevant alternatives again.",981,996,184,1,['p04805'],['semih koray'],0.0,1,only_males,single_author,15,-15.28571429,21.78482609,3.0812136760000004,4.4210434780000005,1.486375749,11.8979213,2.476363705,16.215,2.78593674,23.25896739,3.146690752,0,1,0,0,0,0,1,0,0,1,5,359,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521,capital-skill complementarity and inequality: a macroeconomic analysis,2200068510291053,Econometrica,2,2000,,68,5,220000000000.0,,"Capital-skill complementarity, wage inequality, technological change.","The supply and price of skilled labor relative to unskilled labor have changed dramatically over the postwar period. The relative quantity of skilled labor has increased substantially, and the skill premium, which is the wage of skilled labor relative to that of unskilled labor, has grown significantly since 1980. Many studies have found that accounting for the increase in the skill premium on the basis of observable variables is difficult and have concluded implicitly that latent skill-biased technological change must be the main factor responsible. This paper examines that view systematically. We develop a framework that provides a simple, explicit economic mechanism for understanding skill-biased technological change in terms of observable variables, and we use the framework to evaluate the fraction of variation in the skill premium that can be accounted for by changes in observed factor quantities. We find that with capital-skill complementarity, changes in observed inputs alone can account for most of the variations in the skill premium over the last 30 years.",1029,1053,168,1,"['p01929', 'p02751', 'p03155', 'p04185']","['giovanni violante', 'jose-victor rios-rull', 'lee ohanian', 'per krusell']",0.0,4,only_males,coauthors,24,-6.125,16.19071429,2.784437886,28.85428571,3.362258534,11.69845476,2.4594567609999998,14.50285714,2.674345674,17.85821429,2.882463586,0,1,0,0,0,1,0,0,0,1,6,297,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,gmm with weak identification,2200068510551096,Econometrica,2,2000,,68,5,220000000000.0,,"Instrumental variables, empirical processes, Euler equation estimation, asset pricing.",This paper develops asymptotic distribution theory for GMM estimators and test statistics when some or all of the parameters are weakly identified. General results are obtained and are specialized to two important cases: linear instrumental variables regression and Euler equations estimation of the CCAPM. Numerical results for the CCAPM demonstrate that weak-identification asymptotics explains the breakdown of conventional GMM procedures documented in previous Monte Carlo studies. Confidence sets immune to weak identification are proposed. We use these results to inform an empirical investigation of various CCAPM specifications; the substantive conclusions reached differ from those obtained using conventional methods.,1055,1096,99,1,"['p02328', 'p02710']","['james stock', 'jonathan wright']",0.0,2,only_males,coauthors,41,10.875,17.40068687,2.8565096810000004,5.574363636,1.718178165,12.91231737,2.558181691,19.64808081,2.977979665,18.06212121,2.893816995,0,1,0,0,0,1,0,0,0,1,5,212,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523,a reality check for data snooping,2200068510971126,Econometrica,2,2000,,68,5,220000000000.0,,"Data mining, multiple hypothesis testing, bootstrap, forecast evaluation, model selection, prediction.","Data snooping occurs when a given set of data is used more than once for purposes of inference or model selection. When such data reuse occurs, there is always the possibility that any satisfactory results obtained may simply be due to chance rather than to any merit inherent in the method yielding the results. This problem is practically unavoidable in the analysis of time-series data, as typically only a single history measuring a given phenomenon of interest is available for analysis. It is widely acknowledged by empirical researchers that data snooping is a dangerous practice to be avoided, but in fact it is endemic. The main problem has been a lack of sufficiently simple practical methods capable of assessing the potential dangers of data snooping in a given situation. Our purpose here is to provide such methods by specifying a straightforward procedure for testing the null hypothesis that the best model encountered in a specification search has no predictive superiority over a given benchmark model. This permits data snooping to be undertaken with some degree of confidence that one will not mistake results that could have been generated by chance for genuinely good results.",1097,1126,195,1,['p02023'],['halbert white'],0.0,1,only_males,single_author,29,-1.125,16.51428571,2.804225807,26.28,3.2688081939999996,11.25323993,2.4206560809999997,13.11035897,2.573402679,16.50749451,2.80381449,0,1,0,0,0,0,1,0,0,1,7,351,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,do markets favor agents able to make accurate predictions?,2200068613031341,Econometrica,2,2000,,68,6,220000000000.0,,"Rational expectations, learning, wealth accumulation.","Blume and Easley (1992) show that if agents' have the same savings rule, those who maximize the expected logarithm of next period's outcomes will eventually hold all wealth (i.e. are most prosperous). However, if no agent adopts this rule then the most prosperous are not necessarily those who make the most accurate predictions. Thus, agents who make inaccurate predictions need not be driven out of the market. In this paper, it is shown that, among agents who have the same intertemporal discount factor (and who choose savings endogenously), the most prosperous are those who make accurate predictions. Hence, convergence to rational expectations obtains because agents who make inaccurate predictions are driven out of the market.",1303,1341,115,1,['p00217'],['alvaro sandroni'],0.0,1,only_males,single_author,38,9.714285713999999,12.97826087,2.563275717,42.98043478,3.7607450069999997,9.85756087,2.2882387619999998,13.48904348,2.601877762,14.72582609,2.6896028289999996,0,1,0,0,0,0,1,0,0,1,5,191,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,accuracy of numerical solutions using the euler equation residuals,2200068613771402,Econometrica,2,2000,,68,6,220000000000.0,,"Euler equations, numerical solutions, approximation error, error bounds, accuracy tests.","This paper is concerned with asymptotic properties on the accuracy of numerical solutions. It is shown that the approximation error of the policy function is of the same order of magnitude as the size of the Euler equation residuals. Moreover, for bounding this approximation error the most relevant parameters are the discount factor and the curvature of the return function. These findings provide theoretical foundations for the construction of tests to assess the performance of alternative computational methods.",1377,1402,78,0,['p03321'],['manuel santos'],0.0,1,only_males,single_author,25,-3.285714286,14.55602564,2.678005041,25.43480769,3.236118617,11.48652051,2.441174219,15.47435897,2.7391843939999996,14.58730769,2.6801518140000002,0,1,0,0,0,0,1,0,0,1,4,149,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
