tags,title,idauthor,author
90,"['L', 'G', 'D']",financial markets and firm dynamics, p05435, vincenzo quadrini
91,"['L', 'G']",competition in loan contracts,p00920,christine parlour
91,"['L', 'G']",competition in loan contracts, p05361, uday rajan
92,"['N', 'G']",why regulate insider trading? evidence from the first great merger wave (1897-1903),p00064,ajeyo banerjee
92,"['N', 'G']",why regulate insider trading? evidence from the first great merger wave (1897-1903), p05518, woodrow eckard
93,"['O', 'N', 'L', 'D']",learning from experience and learning from others: an exploration of learning and spillovers in wartime shipbuilding,p04246,peter thompson
93,"['O', 'N', 'L', 'D']",learning from experience and learning from others: an exploration of learning and spillovers in wartime shipbuilding, p04444, rebecca achee thornton
94,"['O', 'N', 'I', 'P']",the colonial origins of comparative development: an empirical investigation,p01145,daron acemoglu
94,"['O', 'N', 'I', 'P']",the colonial origins of comparative development: an empirical investigation, p02321, james robinson
94,"['O', 'N', 'I', 'P']",the colonial origins of comparative development: an empirical investigation, p04914, simon johnson
95,['C'],ten little treasures of game theory and ten intuitive contradictions,p00843,charles holt
95,['C'],ten little treasures of game theory and ten intuitive contradictions, p02257, jacob goeree
96,['F'],an account of global factor trade,p01263,david weinstein
96,['F'],an account of global factor trade, p01355, donald davis
97,"['O', 'R']","nursery cities: urban diversity, process innovation, and the life cycle of products",p01316,diego puga
97,"['O', 'R']","nursery cities: urban diversity, process innovation, and the life cycle of products", p01910, gilles duranton
98,['D'],conflicts and common interests in committees,p02045,hao li
98,['D'],conflicts and common interests in committees, p04872, sherwin rosen
98,['D'],conflicts and common interests in committees, p05508, wing suen
99,"['L', 'J']",racial integration as an innovation: empirical evidence from sports leagues,p00707,brian goff
99,"['L', 'J']",racial integration as an innovation: empirical evidence from sports leagues, p04562, robert mccormick
99,"['L', 'J']",racial integration as an innovation: empirical evidence from sports leagues, p04585, robert tollison
100,"['L', 'J', 'E', 'H']",the impact of economic conditions on participation in disability programs: evidence from the coal boom and bust,p01060,dan black
100,"['L', 'J', 'E', 'H']",the impact of economic conditions on participation in disability programs: evidence from the coal boom and bust, p02993, kermit daniel
100,"['L', 'J', 'E', 'H']",the impact of economic conditions on participation in disability programs: evidence from the coal boom and bust, p04830, seth sanders
101,"['O', 'H']",insuring consumption against illness,p02686,jonathan gruber
101,"['O', 'H']",insuring consumption against illness, p04137, paul gertler
102,"['H', 'D']",endogenous federal grants and crowd-out of state government spending: theory and evidence from the federal highway aid program,p00712,brian knight
103,"['F', 'D']",increasing returns and all that: a view from trade,p01119,daniel trefler
103,"['F', 'D']",increasing returns and all that: a view from trade, p05471, werner antweiler
104,"['O', 'F']",geographic localization of international technology diffusion,p05512,wolfgang keller
105,"['O', 'L']",when do research consortia work well and why? evidence from japanese panel data,p03153,lee branstetter
105,"['O', 'L']",when do research consortia work well and why? evidence from japanese panel data, p03417, mariko sakakibara
106,"['O', 'Q']",induced innovation and energy prices,p01235,david popp
107,['E'],plant-level irreversible investment and equilibrium business cycles,p03350,marcelo veracierto
108,"['O', 'F']",how important is human capital for development? evidence from immigrant earnings,p03282,lutz hendricks
109,"['O', 'E']",sources of u.s. economic growth in a world of ideas,p00844,charles jones
110,"['P', 'L', 'D']",machiavellian privatization,p00740,bruno biais
110,"['P', 'L', 'D']",machiavellian privatization, p01509, enrico perotti
111,['O'],what explains the industrial revolution in east asia? evidence from the factor markets,p00831,chang-tai hsieh
112,"['O', 'D']","technological change, technological catch-up, and capital deepening: relative contributions to growth and convergence",p04574,robert russell
112,"['O', 'D']","technological change, technological catch-up, and capital deepening: relative contributions to growth and convergence", p05073, subodh kumar
113,"['O', 'C']",an experimental test of an optimal growth model,p00851,charles noussair
113,"['O', 'C']",an experimental test of an optimal growth model, p05442, vivian lei
114,['E'],"fiscal policy, profits, and investment",p00101,alberto alesina
114,['E'],"fiscal policy, profits, and investment", p01649, fabio schiantarelli
114,['E'],"fiscal policy, profits, and investment", p04602, roberto perotti
114,['E'],"fiscal policy, profits, and investment", p04901, silvia ardagna
115,['H'],tax reform and automatic stabilization,p02334,james ziliak
115,['H'],tax reform and automatic stabilization, p05217, thomas kniesner
116,['D'],can expected utility theory explain gambling?,p03204,lisa farrell
116,['D'],can expected utility theory explain gambling?, p04629, roger hartley
117,"['D', 'C']",efficiency in auctions with private and common values: an experimental study,p02257,jacob goeree
117,"['D', 'C']",efficiency in auctions with private and common values: an experimental study, p05178, theo offerman
118,"['D', 'C']",reputation and competition,p02565,johannes horner
119,"['G', 'F']","troubled banks, impaired foreign direct investment: the role of relative access to credit",p01546,eric rosengren
119,"['G', 'F']","troubled banks, impaired foreign direct investment: the role of relative access to credit", p02544, joe peek
119,"['G', 'F']","troubled banks, impaired foreign direct investment: the role of relative access to credit", p03696, michael klein
120,"['J', 'K', 'D']",litigation costs and returns to experience,p04157,paul oyer
120,"['J', 'K', 'D']",litigation costs and returns to experience, p04781, scott schaefer
121,"['O', 'N', 'D', 'F']",inequality among world citizens: 1820-1992,p00909,christian morrisson
121,"['O', 'N', 'D', 'F']",inequality among world citizens: 1820-1992, p01761, francois bourguignon
122,"['M', 'G']",the returns to entrepreneurial investment: a private equity premium puzzle?,p00408,annette vissing-jorgensen
122,"['M', 'G']",the returns to entrepreneurial investment: a private equity premium puzzle?, p05288, tobias moskowitz
123,"['L', 'D', 'C']",managing dynamic competition,p02153,huseyin yildirim
123,"['L', 'D', 'C']",managing dynamic competition, p05342, tracy lewis
124,"['L', 'D']","rigidity, discretion, and the costs of writing contracts",p01925,giovanni maggi
124,"['L', 'D']","rigidity, discretion, and the costs of writing contracts", p04296, pierpaolo battigalli
125,"['O', 'I', 'D']",contractual structure and wealth accumulation,p01290,debraj ray
125,"['O', 'I', 'D']",contractual structure and wealth accumulation, p01322, dilip mookherjee
126,"['L', 'J', 'M', 'D']","monitoring, motivation, and management: the determinants of opportunistic behavior in a field experiment",p01110,daniel nagin
126,"['L', 'J', 'M', 'D']","monitoring, motivation, and management: the determinants of opportunistic behavior in a field experiment", p02318, james rebitzer
126,"['L', 'J', 'M', 'D']","monitoring, motivation, and management: the determinants of opportunistic behavior in a field experiment", p03232, lowell taylor
126,"['L', 'J', 'M', 'D']","monitoring, motivation, and management: the determinants of opportunistic behavior in a field experiment", p04830, seth sanders
127,['G'],rating banks: risk and uncertainty in an opaque industry,p01357,donald morgan
128,['F'],how regional blocs affect excluded countries: the price effects of mercosur,p00093,alan winters
128,['F'],how regional blocs affect excluded countries: the price effects of mercosur, p05516, won chang
129,"['J', 'E']","testing intertemporal substitution, implicit contracts, and hours restriction models of the labor market using micro data",p02606,john ham
129,"['J', 'E']","testing intertemporal substitution, implicit contracts, and hours restriction models of the labor market using micro data", p03008, kevin reilly
130,"['E', 'F']",targeting nominal income growth or inflation?,p02089,henrik jensen
131,"['J', 'I']",did the elimination of mandatory retirement affect faculty retirement?,p01169,david card
131,"['J', 'I']",did the elimination of mandatory retirement affect faculty retirement?, p04037, orley ashenfelter
132,"['J', 'H']",geography of the family,p02048,harald kunemund
132,"['J', 'H']",geography of the family, p02865, julio robledo
132,"['J', 'H']",geography of the family, p02893, kai konrad
132,"['J', 'H']",geography of the family, p03026, kjell erik lommerud
133,"['J', 'I']",longer-term effects of head start,p01390,duncan thomas
133,"['J', 'I']",longer-term effects of head start, p01458, eliana garces
133,"['J', 'I']",longer-term effects of head start, p02351, janet currie
134,"['N', 'R']","bones, bombs, and break points: the geography of economic activity",p01263,david weinstein
134,"['N', 'R']","bones, bombs, and break points: the geography of economic activity", p01355, donald davis
135,"['O', 'D']",knowledge spillovers and inequality,p00681,boyan jovanovic
135,"['O', 'D']",knowledge spillovers and inequality, p02337, jan eeckhout
136,"['J', 'I', 'D']",economic status and health in childhood: the origins of the gradient,p00403,anne case
136,"['J', 'I', 'D']",economic status and health in childhood: the origins of the gradient, p00917, christina paxson
136,"['J', 'I', 'D']",economic status and health in childhood: the origins of the gradient, p01147, darren lubotsky
137,"['P', 'M', 'D']",property rights and finance,p00976,christopher woodruff
137,"['P', 'M', 'D']",property rights and finance, p02627, john mcmillan
137,"['P', 'M', 'D']",property rights and finance, p04914, simon johnson
138,['L'],airport congestion when carriers have market power,p02335,jan brueckner
139,['L'],measuring market inefficiencies in california's restructured wholesale electricity market,p01783,frank wolak
139,['L'],measuring market inefficiencies in california's restructured wholesale electricity market, p02287, james bushnell
139,['L'],measuring market inefficiencies in california's restructured wholesale electricity market, p04836, severin borenstein
140,"['P', 'N', 'R']",transport costs and the geography of arbitrage in eighteenth-century china,p00792,carol shiue
141,"['P', 'Q']",hazards of expropriation: tenure insecurity and investment in rural china,p02007,guo li
141,"['P', 'Q']",hazards of expropriation: tenure insecurity and investment in rural china, p02030, hanan jacoby
141,"['P', 'Q']",hazards of expropriation: tenure insecurity and investment in rural china, p04780, scott rozelle
142,"['G', 'D']",two-class voting: a mechanism for conflict resolution,p00656,bilge yilmaz
142,"['G', 'D']",two-class voting: a mechanism for conflict resolution, p01586, ernst maug
143,"['J', 'K']","racial profiling, fairness, and effectiveness of policing",p03926,nicola persico
144,"['J', 'E', 'D']",learning-by-doing as a propagation mechanism,p01777,frank schorfheide
144,"['J', 'E', 'D']",learning-by-doing as a propagation mechanism, p02538, joao gomes
144,"['J', 'E', 'D']",learning-by-doing as a propagation mechanism, p05605, yongsung chang
145,['D'],social value of public information,p02157,hyun song shin
145,['D'],social value of public information, p05026, stephen morris
146,"['O', 'I']",vouchers for private schooling in colombia: evidence from a randomized natural experiment,p01476,elizabeth king
146,"['O', 'I']",vouchers for private schooling in colombia: evidence from a randomized natural experiment, p01524, eric bettinger
146,"['O', 'I']",vouchers for private schooling in colombia: evidence from a randomized natural experiment, p01560, erik bloom
146,"['O', 'I']",vouchers for private schooling in colombia: evidence from a randomized natural experiment, p02789, joshua angrist
146,"['O', 'I']",vouchers for private schooling in colombia: evidence from a randomized natural experiment, p03699, michael kremer
147,"['L', 'E']",why don't prices rise during periods of peak demand? evidence from scanner data,p00381,anil kashyap
147,"['L', 'E']",why don't prices rise during periods of peak demand? evidence from scanner data, p02841, judith chevalier
147,"['L', 'E']",why don't prices rise during periods of peak demand? evidence from scanner data, p04236, peter rossi
148,"['G', 'F']",micro effects of macro announcements: real-time price discovery in foreign exchange,p00990,clara vega
148,"['G', 'F']",micro effects of macro announcements: real-time price discovery in foreign exchange, p01748, francis diebold
148,"['G', 'F']",micro effects of macro announcements: real-time price discovery in foreign exchange, p05254, tim bollerslev
148,"['G', 'F']",micro effects of macro announcements: real-time price discovery in foreign exchange, p05332, torben andersen
149,"['O', 'L', 'F', 'D']",stages of diversification,p02388,jean imbs
149,"['O', 'L', 'F', 'D']",stages of diversification, p04646, romain wacziarg
150,"['P', 'H', 'E', 'D']",the survival of the welfare state,p01655,fabrizio zilibotti
150,"['P', 'H', 'E', 'D']",the survival of the welfare state, p02608, john hassler
150,"['P', 'H', 'E', 'D']",the survival of the welfare state, p02745, jose rodriguez mora
150,"['P', 'H', 'E', 'D']",the survival of the welfare state, p03029, kjetil storesletten
151,['D'],the economic costs of conflict: a case study of the basque country,p00100,alberto abadie
151,['D'],the economic costs of conflict: a case study of the basque country, p02377, javier gardeazabal
152,"['D', 'C']",lying for strategic advantage: rational and boundedly rational misrepresentation of intentions,p05428,vincent crawford
153,"['J', 'A']",the evolution of human life expectancy and intelligence in hunter-gatherer economies,p00491,arthur robson
153,"['J', 'A']",the evolution of human life expectancy and intelligence in hunter-gatherer economies, p02115, hillard kaplan
154,['F'],gravity with gravitas: a solution to the border puzzle,p01551,eric van wincoop
154,['F'],gravity with gravitas: a solution to the border puzzle, p02280, james anderson
155,['G'],portfolio choice and trading in a large 401(k) plan,p00410,annika sunden
155,['G'],portfolio choice and trading in a large 401(k) plan, p02854, julie agnew
155,['G'],portfolio choice and trading in a large 401(k) plan, p04293, pierluigi balduzzi
156,"['J', 'D']",optimal contracting with subjective evaluation,p00630,bentley macleod
157,"['L', 'D']",optimal pricing mechanisms with unknown demand,p02194,ilya segal
158,"['O', 'E']",animal spirits through creative destruction,p02154,huw lloyd-ellis
158,"['O', 'E']",animal spirits through creative destruction, p04115, patrick francois
159,"['O', 'L', 'M']","make versus buy in trucking: asset ownership, job design, and information",p01864,george baker
159,"['O', 'L', 'M']","make versus buy in trucking: asset ownership, job design, and information", p05214, thomas hubbard
160,"['O', 'J', 'E', 'D']",wages and employment in the united states and germany: what explains the differences?,p01194,david green
160,"['O', 'J', 'E', 'D']",wages and employment in the united states and germany: what explains the differences?, p04129, paul beaudry
161,"['G', 'F']",dynamic speculative attacks,p00926,christophe chamley
162,['E'],the performance of forecast-based monetary policy rules under model uncertainty,p00348,andrew levin
162,['E'],the performance of forecast-based monetary policy rules under model uncertainty, p02666, john williams
162,['E'],the performance of forecast-based monetary policy rules under model uncertainty, p05451, volker wieland
163,"['O', 'D', 'C']",optimal design of research contests,p02164,ian gale
163,"['O', 'D', 'C']",optimal design of research contests, p05575, yeon-koo che
164,"['D', 'C']",what do bargainers' preferences look like? experiments with a convex ultimatum game,p02281,james andreoni
164,"['D', 'C']",what do bargainers' preferences look like? experiments with a convex ultimatum game, p03359, marco castillo
164,"['D', 'C']",what do bargainers' preferences look like? experiments with a convex ultimatum game, p04381, ragan petrie
165,"['O', 'F']",one size fits all? heckscher-ohlin specialization in global production,p04242,peter schott
166,"['O', 'F']",a theory of defensive skill-biased innovation and globalization,p03550,mathias thoenig
166,"['O', 'F']",a theory of defensive skill-biased innovation and globalization, p05191, thierry verdier
167,"['I', 'D']",school choice: a mechanism design approach,p00521,atila abdulkadiroglu
167,"['I', 'D']",school choice: a mechanism design approach, p05163, tayfun sonmez
168,"['L', 'M', 'D']",multiproduct quality competition: fighting brands and product line pruning,p01230,david myatt
168,"['L', 'M', 'D']",multiproduct quality competition: fighting brands and product line pruning, p02882, justin johnson
169,"['L', 'F']","information, international substitutability, and globalization",p02317,james rauch
169,"['L', 'F']","information, international substitutability, and globalization", p05440, vitor trindade
170,"['L', 'H', 'D']",do government grants to private charities crowd out giving or fund-raising?,p00011,abigail payne
170,"['L', 'H', 'D']",do government grants to private charities crowd out giving or fund-raising?, p02281, james andreoni
171,['D'],forward and backward intergenerational goods: why is social security good for the environment?,p00447,antonio rangel
172,"['L', 'D']",relational incentive contracts,p02696,jonathan levin
173,"['R', 'D', 'C']",the misallocation of housing under rent control,p01412,edward glaeser
173,"['R', 'D', 'C']",the misallocation of housing under rent control, p01590, erzo fp luttmer
